Assemblies	megahit-103-df	megahit-103-ml	megahit-103-ms	megahit-113-df	megahit-113-ml	megahit-113-ms	megahit-129-df	megahit-129-ml	megahit-129-ms	metaSPAdes
GCF_000162275.1_ASM16227v1	219	229	285	254	255	271	243	301	334	164
GCF_000162455.1_ASM16245v1	331	362	434	283	356	334	305	433	450	218
GCF_000163055.2_ASM16305v2	6	2	9	8	11	20	8	16	25	5
GCF_000163655.1_ASM16365v1	337	335	368	330	354	372	376	395	428	256
GCF_000165775.1_ASM16577v3	11	11	52	173	278	314	223	490	658	6
GCF_000177015.3_Rumi_bact_D16_V2	6	7	15	14	15	21	20	25	22	8
GCF_000178115.2_ASM17811v2	48	36	56	55	63	96	55	65	88	31
GCF_000178835.2_ASM17883v2	1	1	3	3	6	6	5	4	10	1
GCF_000184945.1_ASM18494v1	819	2106	2020	139	153	203	175	229	328	103
GCF_000185525.1_ASM18552v1	628	482	427	414	1355	1296	472	2428	2450	647
GCF_000185545.1_ASM18554v1	664	656	703	654	765	743	656	833	814	585
GCF_000185605.1_ASM18560v1	76	67	95	83	102	110	105	109	120	52
GCF_000185705.2_Bilo_wads_3_1_6_V2	207	210	260	208	189	200	223	205	238	142
GCF_000185825.1_ASM18582v1	181	176	188	161	176	186	185	330	251	147
GCF_000186105.1_Bacteroides_sp_3_1_40A_V1	116	106	88	111	195	228	78	359	374	63
GCF_000187895.1_ASM18789v1	12	14	24	17	22	22	17	25	39	11
GCF_000190535.1_ASM19053v1	198	166	277	271	254	339	291	292	364	119
GCF_000191545.1_ASM19154v1	376	368	351	516	511	614	564	853	815	403
GCF_000191805.1_Lach_bact_4_1_37FAA_V1	26	32	27	35	39	41	36	50	44	11
GCF_000195315.1_ASM19531v1	65	54	49	41	177	116	45	554	386	23
GCF_000196175.1_ASM19617v1	214	155	125	93	931	756	95	2171	1923	168
GCF_000205025.1_ASM20502v1	3	1	3	3	3	2	1	2	1	2
GCF_000205165.1_ASM20516v1	6	10	20	20	20	22	19	16	23	6
GCF_000209385.2_Lach_bact_2_1_46_FAA_V2	466	1251	1134	107	129	146	131	190	249	67
GCF_000209405.1_Lach_bact_3_1_46FAA_V1	391	364	406	383	418	409	388	485	495	373
GCF_000209425.1_Lach_bact_6_1_63FAA_V1	131	151	140	128	172	154	131	431	301	80
GCF_000209465.1_Lach_bact_F0167_V1	121	111	181	193	186	241	191	205	239	89
GCF_000214785.1_ASM21478v1	1392	208	1123	676	702	937	880	1628	2450	149
GCF_000218385.1_Lach_bact_1_4_56FAA_V1	2113	1936	1710	1810	2909	2864	1833	3224	3415	2391
GCF_000218405.2_Lach_bact_3_1_57FAA_CT1_V1	1075	1155	1277	1177	1379	1389	1224	1777	1600	851
GCF_000218425.1_Lach_bact_5_1_57FAA	125	106	162	160	166	188	179	194	230	59
GCF_000218445.1_Lach_bact_1_1_57FAA_V1	747	737	729	698	762	803	747	860	888	632
GCF_000220255.1_ASM22025v1	1924	1679	1580	1714	2555	2605	1741	3074	3257	1958
GCF_000224615.1_Prev_oulo_F0390_V1	526	548	659	635	677	774	711	750	831	340
GCF_000224655.1_Bilophila_sp_4_1_30_V1	18	19	35	23	16	28	30	24	28	8
GCF_000225345.1_ASM22534v1	16	16	20	27	23	37	26	37	41	6
GCF_000225685.1_Erys_bact_2_2_44A_V1	70	50	92	89	88	148	99	99	156	44
GCF_000225745.1_Dorea_form_4_6_53AFAA_V1	9	8	14	14	17	21	20	25	32	1
GCF_000231275.1_Alis_indi_YIT_V1	2	-	-	1	-	1	1	1	1	-
GCF_000233455.1_Clos_citr_WAL_17108_V1	209	198	295	228	263	308	290	273	338	153
GCF_000234055.1_Prev_hist_F0411_V1	7	4	5	4	9	7	7	15	18	4
GCF_000234115.1_Prevotella_sp_F0323_V1	7	11	9	8	10	14	8	11	17	3
GCF_000234155.1_Clos_clos_2_1_49FAA_V1	388	441	380	374	450	465	386	696	651	259
GCF_000235445.1_John_igna_ATCC_51276_V1	-	-	-	-	-	3	-	2	4	1
GCF_000236865.1_ASM23686v1	121	111	147	139	180	220	155	194	234	78
GCF_000237085.1_ASM23708v1	1076	1081	1300	1315	1334	1535	1459	1440	1643	862
GCF_000238055.2_Oribacterium_sp_ACB1_V2	184	162	118	138	669	576	146	1568	1442	162
GCF_000238075.1_Oribacterium_sp_ACB7_V1	23	18	23	19	52	49	26	60	62	16
GCF_000238635.1_Subdol_sp_4_3_54A2FAA_V1	460	453	583	607	620	667	650	675	753	296
GCF_000238835.1_ASM23883v1	221	195	280	291	282	354	327	324	396	155
GCF_000242315.1_ASM24231v1	629	606	759	761	724	802	834	776	838	398
GCF_000243015.1_Prev_macu_OT_289_V1	1307	363	1671	349	312	495	628	939	1552	75
GCF_000243215.1_Odor_lane_YIT_12061_V1	208	567	428	68	73	74	65	75	93	64
GCF_000245055.1_ASM24505v1	846	2836	2443	116	130	165	138	185	255	108
GCF_000259235.1_ASM25923v1	1146	1203	1154	911	1311	1237	1147	1750	1682	366
GCF_000261025.1_ASM26102v1	100	120	145	74	91	113	98	145	143	38
GCF_000265365.1_ASM26536v1	1434	437	1859	371	367	481	500	722	1177	98
GCF_000270225.1_ASM27022v1	40	51	54	34	60	56	61	63	71	13
GCF_000273035.1_Bact_dore_CL02T00C15_V1	674	694	803	660	917	860	795	1257	1190	499
GCF_000273055.1_Bact_dore_CL02T12C06_V1	661	717	723	676	905	966	757	1214	1166	422
GCF_000273135.1_Bact_frag_CL05T12C13_V1	141	116	225	120	136	139	139	148	164	47
GCF_000273155.1_Bact_frag_CL07T12C05_V1	182	64	195	47	62	57	50	85	91	18
GCF_000273175.1_Bact_nord_CL02T12C05_V1	360	378	456	445	474	527	505	547	621	220
GCF_000273195.1_Bact_ovat_CL02T12C04_V1	112	147	130	104	118	135	121	210	207	61
GCF_000273235.1_Bact_saly_CL02T12C01_V1	374	334	310	311	558	559	304	619	678	393
GCF_000273295.1_Bact_vulg_CL09T03C04_V1	65	51	57	60	154	129	61	244	282	31
GCF_000273315.1_Bact_xyla_CL03T12C04_V1	908	1035	1117	970	1158	1111	1095	1369	1314	430
GCF_000273765.1_Bact_frag_CL05T00C42_V1	161	137	222	116	138	147	128	171	203	65
GCF_000296465.1_Barn_inte_YIT_11860_V1	5	6	4	1	12	12	2	11	17	5
GCF_000297695.1_Bact_frag_HMW_610_V1	2148	2464	2609	1918	2422	2170	2107	2650	2389	1160
GCF_000297735.1_Bact_frag_HMW_615_V1	125	65	145	32	47	48	33	63	82	19
GCF_000297755.1_Bact_frag_HMW_616_V1	254	312	339	235	312	286	251	363	361	129
GCF_000304195.1_Bact_thet_CL09T03C10_V1	24	25	19	26	26	34	21	33	33	17
GCF_000307265.1_ASM30726v1	189	168	241	230	236	294	249	234	312	104
GCF_000307345.1_Para_merd_CL03T12C32_V1	2411	2491	2556	2468	2599	2616	2547	2878	2888	2004
GCF_000307455.1_Para_dist_CL03T12C09_V1	418	440	451	398	460	490	472	503	535	351
GCF_000307475.1_Paraba_sp_D25_V1	369	380	375	388	395	415	409	416	468	317
GCF_000307495.1_Para_merd_CL09T00C40_V1	494	494	538	543	570	605	536	654	658	399
GCF_000312145.1_ASM31214v1	17	14	25	17	23	22	22	20	24	6
GCF_000312405.1_ASM31240v1	-	-	1	-	2	1	-	1	2	-
GCF_000318195.2_ASM31819v2	327	829	649	163	170	167	168	193	201	163
GCF_000331715.1_ASM33171v1	8	4	10	8	15	22	8	12	18	6
GCF_000331995.1_ASM33199v1	40	34	48	59	54	68	54	65	77	25
GCF_000332875.2_ASM33287v2	23	28	27	34	74	72	38	145	155	22
GCF_000333275.1_ASM33327v1	916	896	903	805	969	889	813	1532	1239	852
GCF_000333595.1_ASM33359v1	539	562	710	689	773	905	779	844	978	354
GCF_000345685.2_ASM34568v2	1078	1131	990	944	1167	1089	847	1656	1515	707
GCF_000365025.1_ASM36502v1	127	91	82	41	532	382	38	1325	1076	72
GCF_000371405.1_Clos_clos_CM201_V1	158	229	178	134	159	146	113	320	303	88
GCF_000371445.1_Clos_hath_12489931_V1	1101	1439	1134	1824	1241	1358	1435	1527	1545	1409
GCF_000371485.1_Clos_clos_90B1_V1	170	232	225	147	194	173	171	424	420	101
GCF_000371505.1_Clos_clos_90A8_V1	70	119	78	86	81	91	66	158	180	33
GCF_000371525.1_Clos_clos_90A7_V1	602	707	735	651	836	790	724	997	938	321
GCF_000371545.1_Clos_clos_90A6_V1	429	467	412	356	576	528	411	892	867	340
GCF_000371585.1_Clos_clos_90A3_V1	177	252	210	191	207	203	160	411	395	96
GCF_000371605.1_Clos_clos_90A1_V1	216	261	234	187	240	200	185	424	369	125
GCF_000371685.1_Clos_bolt_90B3_V1	712	824	918	797	995	892	848	1066	984	400
GCF_000371705.1_Clos_bolt_90A9_V1	704	820	884	828	877	907	864	1054	1009	384
GCF_000373885.1_ASM37388v1	122	124	182	174	192	231	163	208	236	71
GCF_000374365.1_ASM37436v1	2999	2623	2311	2415	4204	4119	2471	4909	5313	3276
GCF_000374505.1_ASM37450v1	1577	1755	1811	1491	1718	1668	1588	1948	1864	981
GCF_000374585.1_ASM37458v1	119	123	172	172	175	238	181	199	285	65
GCF_000379925.1_ASM37992v1	5	7	8	11	14	23	11	12	23	6
GCF_000379965.1_ASM37996v1	6	3	5	12	4	10	8	4	13	2
GCF_000381365.1_Bact_saly_DSM_18765_V1	3645	3492	3333	3335	4307	4264	3342	4794	4897	3789
GCF_000382385.1_ASM38238v1	528	602	742	417	594	555	512	820	780	298
GCF_000382445.1_Bact_mass_DSM_17679_V1	24	20	32	28	29	43	27	44	41	18
GCF_000382465.1_Bact_sp_HPS0048_V1	231	244	309	272	338	389	300	377	416	145
GCF_000383295.1_ASM38329v1	33	26	43	44	35	55	45	38	63	18
GCF_000384195.1_ASM38419v1	1	2	2	-	1	4	-	3	2	-
GCF_000391985.1_Ente_faec_9731349_1_V1	289	274	366	352	381	452	392	402	481	198
GCF_000396085.1_Ente_faec_B1933_V1	254	261	338	322	355	404	346	395	427	190
GCF_000396285.1_Ente_faec_B2867_V1	279	261	313	319	338	382	378	364	442	191
GCF_000398925.1_Buty_pull_1_20_V1	322	329	411	340	366	423	396	382	493	243
GCF_000403155.2_Bact_thet_dnLKV9_V1	1914	1934	1719	1385	2686	2460	1580	4279	4136	1253
GCF_000403235.1_Bact_vulg_dnLKV7_V1	298	256	236	244	508	510	238	830	871	158
GCF_000403255.1_Lach_bact_3_1_V1	421	449	432	370	425	416	402	963	686	285
GCF_000403275.1_Lach_bact_28_4_V1	370	369	347	340	632	537	379	1435	1171	261
GCF_000403355.2_Ente_caec_B7_V1	-	-	3	3	2	4	3	3	1	1
GCF_000403435.2_Osci_bact_1_3_V1	2380	2434	2618	2536	2689	2727	2694	2929	3022	1995
GCF_000403455.2_Dore_bact_5_2_V1	13	12	10	7	17	21	19	18	14	6
GCF_000404205.1_ASM40420v1	1415	1296	1275	1226	1589	1622	1238	1746	1799	1470
GCF_000410615.1_ASM41061v1	1212	1115	1470	1454	1437	1591	1612	1546	1682	836
GCF_000410995.1_ASM41099v1	52	47	58	53	73	68	58	77	91	43
GCF_000411355.1_Copr_sp_HPP0048_V1	159	151	199	192	221	228	225	235	267	92
GCF_000413355.1_Prev_oral_HGA0225_V1	4	2	7	9	12	23	11	14	18	9
GCF_000422625.1_ASM42262v1	93	119	138	46	41	43	51	58	58	40
GCF_000423925.1_ASM42392v1	86	58	110	88	95	110	87	96	118	50
GCF_000423945.1_ASM42394v1	45	72	136	6	12	29	14	26	37	2
GCF_000423985.1_ASM42398v1	281	272	268	221	405	384	300	636	589	159
GCF_000424005.1_ASM42400v1	746	772	933	898	968	1032	1002	1084	1146	461
GCF_000424085.1_ASM42408v1	15	10	15	20	17	18	19	23	29	5
GCF_000424105.1_ASM42410v1	1	-	-	1	3	-	3	2	-	1
GCF_000424125.1_ASM42412v1	1407	2800	3498	110	133	165	170	198	283	72
GCF_000424305.1_ASM42430v1	4	4	4	5	7	9	5	11	12	2
GCF_000424365.1_ASM42436v1	351	747	647	151	170	169	177	187	215	102
GCF_000424405.1_ASM42440v1	1435	1429	1406	1230	1958	1837	1357	2835	2669	1011
GCF_000424425.1_ASM42442v1	1806	1799	1570	1128	2430	2170	1255	3853	3650	1222
GCF_000424465.1_ASM42446v1	568	678	571	400	391	378	382	490	456	275
GCF_000424585.1_ASM42458v1	13	12	24	18	21	36	25	28	39	10
GCF_000424605.1_ASM42460v1	5	1	6	7	3	12	4	7	13	4
GCF_000425525.1_ASM42552v1	-	1	-	-	3	1	1	1	2	1
GCF_000426305.1_ASM42630v1	2234	2153	2372	2294	2434	2505	2363	2604	2710	2026
GCF_000426505.1_ASM42650v1	1998	1763	1400	1328	3717	3610	1294	4604	4970	2393
GCF_000427365.1_ASM42736v1	160	246	211	117	102	111	99	128	125	85
GCF_000428565.1_ASM42856v1	59	95	136	37	42	43	41	41	57	17
GCF_000429145.1_ASM42914v1	923	787	1121	1138	1026	1199	1207	1096	1320	748
GCF_000455285.1_Sm_AP9	392	374	508	503	489	598	565	545	649	280
GCF_000466505.1_ASM46650v1	4	2	3	3	4	11	4	6	8	-
GCF_000467795.1_ASM46779v1	843	834	1014	259	285	274	197	301	290	134
GCF_000467835.1_ASM46783v1	67	73	89	15	27	31	32	48	40	7
GCF_000467855.2_ASM46785v2	687	650	508	529	1465	1372	546	2028	2179	794
GCF_000467875.1_ASM46787v1	269	160	930	2341	793	1109	1612	2022	3512	281
GCF_000468015.1_ASM46801v1	1	1	2	2	2	13	6	7	10	3
GCF_000469425.1_ASM46942v1	2857	2767	2733	2644	3134	3136	2710	3325	3462	2797
GCF_000473955.1__oprFasNSB1	80	70	112	105	101	146	125	106	145	48
GCF_000487995.1_Muci_scha_ASF457_V1	1748	1584	1486	1465	2066	2054	1452	2309	2385	1965
GCF_000493555.1_LhCIRMBIA101V1	118	83	533	2254	2424	3067	2412	4377	6626	378
GCF_000498675.1_ASM49867v1	605	468	386	503	1176	1179	518	1768	1928	711
GCF_000507805.1_Rumi_gnav_CC55_001C_V1	7	5	10	9	16	18	12	15	28	6
GCF_000512915.1_ASM51291v1	305	300	409	384	385	478	414	447	514	206
GCF_000515315.1_ASM51531v1	114	102	79	58	509	374	64	1453	1146	74
GCF_000539515.1_Stap_aure_LAMC0001_V1	417	377	288	254	807	734	270	1374	1367	316
GCF_000586615.1_RaSY3	16	10	25	26	36	52	27	31	44	13
GCF_000621465.1_ASM62146v1	59	61	82	60	94	86	82	106	111	39
GCF_000621565.1_ASM62156v1	614	729	627	476	507	482	437	707	613	276
GCF_000621605.1_ASM62160v1	50	46	59	57	52	75	61	64	80	27
GCF_000621765.1_ASM62176v1	241	509	433	68	68	68	74	73	91	68
GCF_000621785.1_ASM62178v1	1661	1591	1867	1803	1766	1935	1947	1916	2114	1215
GCF_000621805.1_ASM62180v1	544	474	356	344	1376	1300	356	2140	2305	648
GCF_000621825.1_ASM62182v1	1658	1447	1204	1234	2713	2686	1240	3211	3508	2019
GCF_000621865.1_ASM62186v1	1593	1650	1744	1738	1828	1862	1849	2062	2020	1149
GCF_000621905.1_ASM62190v1	40	31	54	53	57	102	67	59	89	29
GCF_000621925.1_ASM62192v1	20	28	34	26	42	48	34	87	59	13
GCF_000622065.1_ASM62206v1	1910	1894	1977	1938	2150	2176	2011	2302	2383	1805
GCF_000622085.1_ASM62208v1	195	281	286	111	108	123	121	127	142	112
GCF_000686665.1_ASM68666v1	943	1047	1172	1152	1226	1336	1248	1330	1400	718
GCF_000686965.1_ASM68696v1	31	28	28	19	23	25	28	25	42	10
GCF_000700805.1_ASM70080v1	10	7	18	13	17	24	19	33	22	4
GCF_000701545.1_ASM70154v1	1634	1659	1767	1740	1844	1864	1825	1987	2084	1354
GCF_000701645.1_ASM70164v1	241	219	301	306	288	344	332	302	366	151
GCF_000701705.1_ASM70170v1	422	1033	717	188	176	193	194	193	210	173
GCF_000701765.1_ASM70176v1	36	46	59	51	75	73	54	153	134	17
GCF_000702085.1_ASM70208v1	6	4	9	5	7	12	9	6	8	5
GCF_000702145.1_ASM70214v1	45	44	42	30	54	61	36	63	74	40
GCF_000702245.1_ASM70224v1	1064	913	712	724	2133	2101	738	2874	3038	1294
GCF_000702685.1_ASM70268v1	237	210	291	294	321	375	322	336	386	153
GCF_000702825.1_ASM70282v1	2	-	1	3	2	2	-	1	4	-
GCF_000711825.1_ASM71182v1	1536	1450	1707	1649	1693	1755	1759	1811	1888	1216
GCF_000723745.2_PRJEB6027_Urmite	314	369	419	223	418	273	225	571	346	94
GCF_000739415.1_ASM73941v1	31	32	47	23	36	33	36	62	61	16
GCF_000745455.1_ASM74545v1	1703	1625	1555	1525	1944	1988	1549	2140	2227	1774
GCF_000745845.1_ASM74584v1	294	248	417	407	390	561	444	433	558	212
GCF_000765245.1_ASM76524v1	66	68	106	100	130	155	119	135	140	35
GCF_000766005.1_ASM76600v1	64	88	84	60	60	66	64	99	90	60
GCF_000769385.1_ASM76938v1	1550	1544	1543	1407	1767	1739	1477	2140	2054	463
GCF_000789395.1_ASM78939v1	1563	1678	1795	1783	1889	1995	1898	1975	2102	1360
GCF_000821285.2_Alistipes_jeddahmassiliense_str._AL_1	76	104	108	68	100	85	67	91	101	38
GCF_000875945.1_TWA4_1	-	-	2	1	1	2	-	3	-	-
GCF_000934625.1_ASM93462v1	776	657	575	817	1339	1368	824	1874	2033	865
GCF_000953535.1_E5B	11	8	20	11	5	14	12	6	14	9
GCF_000967245.1_ASM96724v1	44	42	67	69	68	92	76	72	97	37
GCF_000969825.1_Para_gord_MS_1_V1	66	103	127	47	53	57	43	59	64	30
GCF_000969835.1_Para_gold_DSM_19448_V1	72	47	117	77	75	109	91	82	126	40
GCF_000969845.1_Para_sp_HGS0025_V1	1601	4401	4156	88	112	116	123	183	213	45
GCF_000970735.1_ASM97073v1	2	-	2	3	2	5	3	1	3	-
GCF_000971515.1_ASM97151v1	174	193	221	194	250	256	239	334	286	44
GCF_001011095.1_ASM101109v1	140	183	223	200	174	215	217	217	217	128
GCF_001012685.1_IM18_3v1	288	351	374	315	416	393	364	452	439	155
GCF_001012735.1_IM1v1	176	178	191	237	356	341	251	694	566	175
GCF_001034445.1_Citr_freu_complex_MGH99_V1	1	-	-	1	-	-	-	-	-	-
GCF_001050435.1_ASM105043v1	-	-	1	1	2	5	1	1	2	-
GCF_001056335.1_ASM105633v1	545	364	577	288	341	314	299	518	467	149
GCF_001062165.1_ASM106216v1	9	4	15	16	6	29	19	5	22	7
GCF_001066565.1_ASM106656v1	212	117	916	1843	734	849	941	1849	2166	169
GCF_001073445.1_ASM107344v1	5	1	5	2	1	6	-	4	2	1
GCF_001078425.1_Clos_bolt_WAL_14578_V1	884	1033	1176	977	1286	1264	1156	1526	1451	409
GCF_001115565.1_6259_7_5	128	189	188	84	89	90	88	101	97	74
GCF_001185345.1_ASM118534v2	513	530	661	597	652	673	661	723	741	306
GCF_001188985.1_ASM118898v1	706	692	876	771	787	863	849	884	983	415
GCF_001244405.1_Eubacterium_massiliense	-	1	-	1	-	1	3	1	3	1
GCF_001244995.1_Intestinimonas_massiliensis	2	3	4	2	3	5	2	4	3	-
GCF_001261775.1_Anaeromassilibacillus_senegalense	92	76	124	132	132	171	143	141	188	59
GCF_001274615.1_ASM127461v1	95	130	144	115	131	117	166	204	229	40
GCF_001305595.1_ASM130559v1	1	1	-	-	-	-	-	1	1	-
GCF_001403575.1_Ihuella_massiliensis	66	70	90	96	95	112	88	109	135	50
GCF_001403595.1_Gabonia_massiliensis	2	2	4	2	6	7	1	3	6	3
GCF_001412315.1_ASM141231v1	124	103	79	100	221	228	73	424	413	61
GCF_001414325.1_ASM141432v1	798	796	984	942	1004	1076	1016	1074	1208	551
GCF_001429415.1_Root670	117	96	97	60	248	191	75	847	544	66
GCF_001434845.1_ASM143484v1	162	159	213	204	209	310	226	251	334	136
GCF_001435065.1_ASM143506v1	418	446	529	487	529	599	532	600	674	295
GCF_001436015.1_ASM143601v1	1	-	1	2	2	1	-	2	2	-
GCF_001436185.1_ASM143618v1	-	1	1	1	4	3	3	6	11	1
GCF_001436945.1_ASM143694v1	1129	737	1653	302	301	331	300	347	376	274
GCF_001454945.1_ASM145494v1	10	5	16	12	18	22	18	25	20	9
GCF_001461035.1_ASM146103v1	18	14	27	23	24	47	28	37	48	16
GCF_001487105.1_Ruminococcus_phoceensis	65	61	107	94	117	146	114	133	168	45
GCF_001487165.1_Blautia_massiliensis1	57	49	85	78	87	127	84	100	144	48
GCF_001535595.1_ASM153559v1	9	11	21	21	17	42	18	34	33	6
GCF_001535605.1_ASM153560v1	321	339	409	390	476	527	424	537	579	170
GCF_001543345.1_ASM154334v1	62	43	76	72	78	105	80	95	115	42
GCF_001548195.1_ASM154819v1	98	118	140	85	106	95	104	166	162	48
GCF_001552975.1_ASM155297v1	94	110	145	135	142	154	144	138	180	73
GCF_001553145.1_ASM155314v1	1	-	1	5	1	2	2	4	7	1
GCF_001553165.1_ASM155316v1	102	128	111	90	122	108	102	237	168	119
GCF_001553215.1_ASM155321v1	125	112	93	89	127	112	95	213	153	92
GCF_001561955.1_ASM156195v1	1565	1309	1125	1114	2512	2514	1107	3152	3412	1844
GCF_001578555.1_ASM157855v1	38	27	45	40	50	64	40	75	84	31
GCF_001578575.1_ASM157857v1	64	82	95	74	100	92	101	131	118	40
GCF_001578635.1_ASM157863v1	5	3	4	5	7	7	8	14	12	4
GCF_001580105.1_ASM158010v1	440	104	384	41	43	62	51	57	110	4
GCF_001580195.1_ASM158019v1	1178	1196	1183	1084	1378	1306	1088	1465	1471	974
GCF_001580455.1_ASM158045v1	48	34	62	67	71	94	79	73	102	29
GCF_001592745.1_ASM159274v1	550	451	313	285	1698	1612	273	3177	3303	549
GCF_001594285.1_ASM159428v1	792	1660	1548	244	253	322	336	408	543	174
GCF_001611075.1_ASM161107v1	25	20	26	33	50	53	47	56	66	16
GCF_001636135.1_ASM163613v1	35	32	51	40	54	68	45	74	85	22
GCF_001647615.1_ASM164761v1	1218	1198	1234	1151	1354	1293	1158	1517	1435	1002
GCF_001659745.1_ASM165974v1	51	123	111	21	21	26	16	36	46	12
GCF_001678845.1_ASM167884v1	731	666	871	867	833	946	942	888	1024	562
GCF_001682215.1_ASM168221v1	2116	296	1354	269	255	300	273	386	540	42
GCF_001688625.2_ASM168862v2	8	3	10	8	5	13	10	8	12	7
GCF_001688665.2_ASM168866v2	2204	2227	2150	2042	2693	2642	2176	3368	3234	1959
GCF_001688705.2_ASM168870v2	1030	1110	1152	1148	1179	1253	1221	1291	1348	911
GCF_001688845.2_ASM168884v2	-	1	-	-	1	2	-	2	1	-
GCF_001689125.2_ASM168912v2	77	68	88	61	65	77	57	206	146	54
GCF_001692755.1_ASM169275v1	3	4	1	4	2	8	3	6	4	2
GCF_001697245.1_ASM169724v1	32	25	43	53	52	69	44	56	72	24
GCF_001697285.1_ASM169728v1	29	19	27	30	45	47	52	39	65	29
GCF_001702095.1_ASM170209v1	67	42	261	1165	1353	1744	1253	2669	3725	76
GCF_001704315.1_ASM170431v1	23	40	47	21	26	25	29	22	28	10
