Assemblies	megahit-103-df	megahit-103-ml	megahit-103-ms	megahit-113-df	megahit-113-ml	megahit-113-ms	megahit-129-df	megahit-129-ml	megahit-129-ms	metaSPAdes
GCF_000153925.1_ASM15392v1	8.984	9.469	9.560	9.174	10.298	9.750	10.242	10.043	10.660	7.751
GCF_000154065.1_ASM15406v1	10.225	10.835	13.684	13.276	13.925	13.945	14.421	14.802	15.758	6.627
GCF_000154105.1_ASM15410v1	8.352	9.069	9.752	9.241	9.712	10.141	10.240	11.047	11.438	6.989
GCF_000154125.1_ASM15412v1	23.288	24.092	23.015	20.614	22.816	16.678	18.129	30.166	25.899	10.733
GCF_000154345.1_ASM15434v1	1.079	0.901	1.382	1.240	1.554	2.213	1.412	1.437	2.224	0.715
GCF_000154385.1_ASM15438v1	91.553	87.988	91.224	92.877	95.121	93.326	92.520	93.684	93.280	91.910
GCF_000154425.1_ASM15442v1	-	-	0.086	0.066	0.091	0.107	0.097	0.106	0.258	-
GCF_000154465.1_ASM15446v1	0.606	0.590	0.591	0.447	0.589	0.724	0.539	0.387	0.858	0.453
GCF_000154505.1_ASM15450v1	1.359	1.354	2.037	1.828	2.106	2.584	2.004	2.426	2.740	0.866
GCF_000155815.1_ASM15581v1	4.036	3.837	4.728	5.065	5.902	6.717	5.512	6.325	7.957	2.301
GCF_000155915.2_Lacto_jensenii_1153_V2	7.676	9.934	10.008	8.992	10.724	11.466	10.298	14.360	11.447	2.902
GCF_000156035.2_ASM15603v2	92.355	80.582	88.725	95.130	94.859	95.055	94.710	95.451	95.399	92.615
GCF_000156075.1_ASM15607v1	1.829	1.863	1.749	2.155	3.027	3.222	2.100	4.886	4.139	1.236
GCF_000156175.1_ASM15617v1	56.076	57.309	63.913	62.979	57.165	59.061	65.471	62.036	62.210	45.536
GCF_000156495.1_ASM15649v1	0.412	0.284	0.348	0.284	0.389	0.274	0.324	0.333	0.356	0.129
GCF_000156515.1_ASM15651v1	97.800	97.514	97.791	97.901	97.934	97.941	97.901	97.927	97.852	97.716
GCF_000157015.1_ASM15701v1	4.873	5.193	6.042	4.449	5.539	5.481	4.921	6.462	6.493	2.091
GCF_000157035.2_Bacteroides_sp_2_1_7_V2	5.719	5.692	6.240	6.776	5.844	6.650	6.772	6.972	6.377	4.009
GCF_000157075.2_Bact_sp_9_1_42FAA_V2	1.840	1.914	2.621	2.727	3.116	3.272	2.407	5.084	4.493	1.328
GCF_000157915.1_ASM15791v1	0.314	0.374	0.501	0.346	0.403	0.472	0.421	0.477	0.567	0.064
GCF_000157935.1_ASM15793v1	0.102	0.093	0.147	0.189	0.085	0.198	0.168	0.138	0.202	0.077
GCF_000157955.1_ASM15795v1	75.813	79.342	81.736	80.294	75.661	75.696	82.509	79.172	78.638	68.179
GCF_000157975.1_ASM15797v1	98.983	98.367	99.027	99.111	99.522	99.363	99.204	99.291	99.453	99.025
GCF_000158075.1_ASM15807v1	99.065	97.740	98.667	99.462	99.480	99.498	99.530	99.548	99.696	99.043
GCF_000158555.2_Erys_bact_D7_V2	3.167	3.643	4.530	4.405	5.302	6.308	5.013	5.519	6.519	2.437
GCF_000158655.1_ASM15865v1	64.560	64.616	70.565	69.585	62.136	64.617	72.542	66.742	68.291	55.481
GCF_000159215.1_ASM15921v1	90.525	90.601	92.773	92.063	87.667	87.497	93.162	89.222	88.953	87.088
GCF_000159615.1_ASM15961v1	7.536	7.811	8.984	8.386	9.438	10.835	9.638	12.724	13.467	4.467
GCF_000159875.2_Bact_sp_1_1_6_V2	8.294	8.793	9.184	9.277	11.098	10.860	9.342	15.640	14.132	4.353
GCF_000159995.1_ASM15999v1	0.232	0.230	0.326	0.494	0.596	0.692	0.462	0.606	0.750	0.252
GCF_000160035.2_ASM16003v2	98.475	98.516	98.733	98.855	98.480	98.338	99.105	98.316	98.246	97.617
GCF_000160095.1_ASM16009v1	4.563	3.540	16.030	97.100	96.720	97.102	97.395	97.774	97.405	95.833
GCF_000160135.1_ASM16013v1	0.275	0.059	0.157	0.004	-	0.033	0.004	0.002	0.005	0.054
GCF_000160675.1_ASM16067v1	-	-	0.063	0.101	0.058	0.031	0.054	0.111	0.108	0.027
GCF_000162175.1_ASM16217v1	16.431	16.679	18.699	18.676	16.237	16.933	20.079	18.435	19.014	11.637
GCF_000162215.1_ASM16221v1	0.994	0.994	1.515	1.367	1.728	2.027	1.442	1.802	2.314	0.455
GCF_000162275.1_ASM16227v1	2.915	3.287	4.296	3.751	3.519	3.760	3.630	4.184	4.426	2.051
GCF_000162455.1_ASM16245v1	9.677	9.284	11.452	13.316	8.822	8.859	9.985	26.782	12.875	5.666
GCF_000163055.2_ASM16305v2	0.128	0.041	0.165	0.146	0.238	0.351	0.207	0.368	0.420	0.090
GCF_000163655.1_ASM16365v1	4.985	5.077	5.595	5.205	5.040	5.279	5.822	5.482	5.975	3.619
GCF_000165775.1_ASM16577v3	0.168	0.207	0.936	6.504	9.187	10.672	11.055	13.225	14.937	2.798
GCF_000177015.3_Rumi_bact_D16_V2	0.096	0.139	0.266	0.272	0.357	0.630	0.410	0.513	0.650	0.367
GCF_000178115.2_ASM17811v2	0.840	0.739	0.931	0.958	1.234	1.662	0.963	1.282	1.619	0.619
GCF_000178835.2_ASM17883v2	0.008	0.003	0.022	0.034	0.029	0.033	0.037	0.038	0.075	0.003
GCF_000184945.1_ASM18494v1	95.290	75.404	88.115	98.676	98.580	98.434	97.885	98.820	98.869	98.294
GCF_000185525.1_ASM18552v1	95.192	93.932	94.056	94.051	93.063	93.002	94.547	93.040	93.313	92.933
GCF_000185545.1_ASM18554v1	19.677	21.682	22.910	21.994	21.338	21.203	22.169	23.437	22.201	15.880
GCF_000185605.1_ASM18560v1	1.135	0.917	1.327	1.193	1.610	1.628	1.628	1.582	1.742	0.816
GCF_000185705.2_Bilo_wads_3_1_6_V2	10.499	9.525	11.854	10.536	12.056	12.234	12.124	10.744	12.686	14.273
GCF_000185825.1_ASM18582v1	99.231	98.938	99.189	99.212	99.318	99.420	99.409	99.419	99.564	98.795
GCF_000186105.1_Bacteroides_sp_3_1_40A_V1	3.298	2.811	2.644	3.542	4.094	4.277	1.919	5.689	6.145	1.604
GCF_000187895.1_ASM18789v1	0.257	0.259	0.461	0.242	0.336	0.281	0.368	0.359	0.688	0.221
GCF_000190535.1_ASM19053v1	2.619	2.247	3.693	3.627	3.392	4.526	3.953	3.869	4.822	1.459
GCF_000191545.1_ASM19154v1	92.176	91.187	92.586	91.489	93.766	94.285	93.357	94.126	95.180	83.957
GCF_000191805.1_Lach_bact_4_1_37FAA_V1	0.442	0.536	0.583	0.638	0.678	0.839	0.641	1.319	0.833	0.202
GCF_000195315.1_ASM19531v1	99.595	99.575	99.559	99.654	99.633	99.672	99.615	99.601	99.618	99.497
GCF_000196175.1_ASM19617v1	99.779	99.780	99.825	99.864	99.691	99.785	99.875	99.601	99.650	99.805
GCF_000205025.1_ASM20502v1	0.043	0.021	0.043	0.043	0.049	0.031	0.009	0.039	0.018	0.039
GCF_000205165.1_ASM20516v1	0.085	0.126	0.224	0.226	0.260	0.257	0.220	0.237	0.270	0.078
GCF_000209385.2_Lach_bact_2_1_46_FAA_V2	95.851	84.220	91.497	97.920	97.725	97.907	97.824	98.331	98.318	97.591
GCF_000209405.1_Lach_bact_3_1_46FAA_V1	10.855	10.687	11.585	11.818	11.409	11.281	12.341	13.170	12.879	9.835
GCF_000209425.1_Lach_bact_6_1_63FAA_V1	96.914	97.001	93.862	97.259	97.005	96.556	97.228	95.375	94.684	96.338
GCF_000209465.1_Lach_bact_F0167_V1	1.960	1.978	2.909	3.141	3.296	3.981	3.172	3.692	4.028	1.410
GCF_000214785.1_ASM21478v1	50.464	4.353	20.579	93.820	95.231	96.097	95.426	97.427	97.820	86.201
GCF_000218385.1_Lach_bact_1_4_56FAA_V1	89.848	90.820	92.890	90.717	88.462	88.019	92.262	90.537	88.792	84.678
GCF_000218405.2_Lach_bact_3_1_57FAA_CT1_V1	11.003	12.313	13.762	14.318	14.496	14.970	15.491	17.125	15.076	8.653
GCF_000218425.1_Lach_bact_5_1_57FAA	2.153	1.918	2.740	2.659	2.998	3.277	3.082	3.416	4.011	1.016
GCF_000218445.1_Lach_bact_1_1_57FAA_V1	22.034	24.419	24.306	23.416	21.714	22.428	25.460	24.158	24.783	17.146
GCF_000220255.1_ASM22025v1	87.240	88.707	90.259	86.760	85.766	84.638	88.768	89.398	88.260	76.629
GCF_000224615.1_Prev_oulo_F0390_V1	11.976	12.695	15.368	14.928	15.103	17.340	16.534	16.898	18.675	7.319
GCF_000224655.1_Bilophila_sp_4_1_30_V1	0.712	0.507	0.509	0.313	1.225	1.826	1.381	0.798	1.827	0.139
GCF_000225345.1_ASM22534v1	0.278	0.356	0.230	0.468	0.521	0.507	0.587	0.678	0.610	0.117
GCF_000225685.1_Erys_bact_2_2_44A_V1	0.839	0.622	1.003	0.988	1.110	1.830	1.081	1.158	1.760	0.530
GCF_000225745.1_Dorea_form_4_6_53AFAA_V1	0.223	0.112	0.200	0.408	0.522	0.489	0.473	0.496	0.561	0.050
GCF_000231275.1_Alis_indi_YIT_V1	0.017	-	-	0.010	-	0.009	0.010	0.011	0.012	-
GCF_000233455.1_Clos_citr_WAL_17108_V1	1.856	1.884	2.737	2.117	2.518	2.828	2.701	2.598	3.213	1.356
GCF_000234055.1_Prev_hist_F0411_V1	0.110	0.068	0.093	0.089	0.180	0.084	0.292	0.296	0.262	0.066
GCF_000234115.1_Prevotella_sp_F0323_V1	0.143	0.258	0.140	0.244	0.265	0.364	0.188	0.229	0.410	0.068
GCF_000234155.1_Clos_clos_2_1_49FAA_V1	15.727	14.726	15.332	15.626	15.943	17.041	14.239	16.449	16.520	8.957
GCF_000235445.1_John_igna_ATCC_51276_V1	-	-	-	-	-	0.037	-	0.111	0.136	0.004
GCF_000236865.1_ASM23686v1	3.072	2.834	3.630	3.718	4.466	5.562	4.094	4.915	6.009	1.845
GCF_000237085.1_ASM23708v1	14.469	14.987	17.895	18.053	17.952	20.671	20.482	19.284	22.134	10.915
GCF_000238055.2_Oribacterium_sp_ACB1_V2	98.773	98.596	98.847	98.867	98.708	98.855	98.897	98.773	98.911	98.147
GCF_000238075.1_Oribacterium_sp_ACB7_V1	0.467	0.370	0.479	0.355	1.256	1.024	0.575	1.379	1.348	0.267
GCF_000238635.1_Subdol_sp_4_3_54A2FAA_V1	6.608	6.746	8.636	9.184	9.099	9.948	9.964	9.849	11.694	4.308
GCF_000238835.1_ASM23883v1	4.452	4.035	5.726	5.953	5.836	7.466	6.816	6.685	8.302	2.978
GCF_000242315.1_ASM24231v1	13.417	13.634	16.645	16.858	15.329	17.377	18.704	16.612	18.430	8.083
GCF_000243015.1_Prev_macu_OT_289_V1	28.258	5.781	23.541	98.586	97.267	99.481	98.500	99.110	98.026	98.330
GCF_000243215.1_Odor_lane_YIT_12061_V1	99.029	98.076	98.784	99.346	99.314	99.327	99.288	99.346	99.427	98.982
GCF_000245055.1_ASM24505v1	97.861	84.941	93.108	99.161	99.147	99.278	99.084	99.243	99.430	98.808
GCF_000259235.1_ASM25923v1	67.155	70.269	75.893	66.714	75.882	74.112	70.978	84.999	82.060	25.200
GCF_000261025.1_ASM26102v1	2.652	3.152	3.532	2.031	2.310	5.302	2.768	3.814	4.336	2.955
GCF_000265365.1_ASM26536v1	25.559	5.413	21.751	98.056	98.146	98.336	98.100	98.616	98.947	97.160
GCF_000270225.1_ASM27022v1	1.824	2.161	1.776	1.978	3.832	3.423	4.300	3.894	4.318	0.725
GCF_000273035.1_Bact_dore_CL02T00C15_V1	9.289	9.375	11.844	10.318	12.755	11.679	11.892	16.078	15.387	6.421
GCF_000273055.1_Bact_dore_CL02T12C06_V1	8.935	10.494	10.208	10.208	11.709	12.970	11.116	15.321	14.656	5.512
GCF_000273135.1_Bact_frag_CL05T12C13_V1	1.849	1.533	2.526	1.856	1.946	1.807	2.669	1.861	2.571	0.552
GCF_000273155.1_Bact_frag_CL07T12C05_V1	2.950	0.803	2.214	5.063	2.360	0.857	1.229	3.862	3.199	0.511
GCF_000273175.1_Bact_nord_CL02T12C05_V1	4.318	4.302	5.140	4.783	5.185	5.705	5.896	5.796	6.681	2.213
GCF_000273195.1_Bact_ovat_CL02T12C04_V1	3.418	4.269	4.167	2.364	2.402	3.193	2.698	5.309	6.122	1.083
GCF_000273235.1_Bact_saly_CL02T12C01_V1	5.342	5.640	4.954	5.093	7.431	7.911	4.680	8.166	8.599	5.403
GCF_000273295.1_Bact_vulg_CL09T03C04_V1	1.698	1.174	1.557	1.639	3.283	2.661	1.768	4.281	4.852	0.861
GCF_000273315.1_Bact_xyla_CL03T12C04_V1	10.144	11.825	13.241	11.328	13.174	13.182	13.482	14.795	14.901	4.709
GCF_000273765.1_Bact_frag_CL05T00C42_V1	2.304	1.878	2.475	2.454	1.867	1.900	1.808	2.238	2.792	0.950
GCF_000296465.1_Barn_inte_YIT_11860_V1	0.140	0.126	0.206	0.088	0.310	0.325	0.039	0.305	0.357	0.277
GCF_000297695.1_Bact_frag_HMW_610_V1	28.969	34.879	36.862	27.343	31.945	28.610	30.059	34.570	30.897	14.371
GCF_000297735.1_Bact_frag_HMW_615_V1	2.084	1.156	2.253	0.661	2.554	1.701	0.522	1.579	1.373	0.422
GCF_000297755.1_Bact_frag_HMW_616_V1	3.713	4.010	4.593	3.176	4.060	3.826	3.515	4.615	4.889	1.720
GCF_000304195.1_Bact_thet_CL09T03C10_V1	0.364	0.319	0.271	0.393	0.348	0.519	0.257	0.384	0.381	0.253
GCF_000307265.1_ASM30726v1	3.405	3.096	4.261	4.115	4.452	5.402	4.583	4.500	5.956	1.874
GCF_000307345.1_Para_merd_CL03T12C32_V1	39.317	42.896	45.849	43.798	39.926	40.037	45.586	43.822	42.543	30.019
GCF_000307455.1_Para_dist_CL03T12C09_V1	6.375	7.056	7.355	6.725	6.635	6.986	7.865	7.374	7.814	4.935
GCF_000307475.1_Paraba_sp_D25_V1	5.583	5.959	6.243	6.271	5.638	6.158	6.710	6.047	6.488	4.431
GCF_000307495.1_Para_merd_CL09T00C40_V1	8.352	9.096	9.884	9.881	9.237	9.757	9.780	10.924	10.422	6.192
GCF_000312145.1_ASM31214v1	0.238	0.176	0.265	0.182	0.285	0.257	0.232	0.239	0.262	0.078
GCF_000312405.1_ASM31240v1	-	-	0.035	-	0.029	0.006	-	0.004	0.027	-
GCF_000318195.2_ASM31819v2	98.200	95.803	97.704	98.563	98.399	98.444	99.149	98.684	98.924	98.251
GCF_000331715.1_ASM33171v1	0.198	0.123	0.247	0.183	0.474	0.662	0.244	0.365	0.539	0.136
GCF_000331995.1_ASM33199v1	0.746	0.764	0.909	1.157	1.090	1.308	1.142	1.313	1.575	0.499
GCF_000332875.2_ASM33287v2	1.294	1.945	1.951	3.171	3.664	2.708	1.924	4.350	4.969	1.692
GCF_000333275.1_ASM33327v1	97.954	97.768	97.993	98.014	98.090	98.090	98.149	98.059	98.170	97.976
GCF_000333595.1_ASM33359v1	4.372	4.632	5.762	5.634	6.444	7.420	6.516	6.995	8.062	2.756
GCF_000345685.2_ASM34568v2	88.139	88.576	90.377	80.937	90.928	90.155	89.576	93.534	92.277	87.233
GCF_000365025.1_ASM36502v1	99.896	99.860	99.895	99.898	99.832	99.864	99.896	99.694	99.817	99.816
GCF_000371405.1_Clos_clos_CM201_V1	13.393	15.334	12.742	13.696	14.006	13.231	11.549	14.160	14.340	16.927
GCF_000371445.1_Clos_hath_12489931_V1	96.722	95.741	97.079	96.055	96.686	94.689	93.738	97.397	95.962	81.081
GCF_000371485.1_Clos_clos_90B1_V1	15.183	14.185	17.650	14.710	13.400	15.498	17.563	16.743	17.412	17.409
GCF_000371505.1_Clos_clos_90A8_V1	2.825	4.319	3.272	4.070	2.876	3.598	2.936	4.283	4.446	1.071
GCF_000371525.1_Clos_clos_90A7_V1	6.966	8.467	8.863	8.136	9.996	9.223	9.381	11.405	10.503	3.970
GCF_000371545.1_Clos_clos_90A6_V1	27.016	25.826	24.869	27.272	27.932	24.674	29.036	26.189	25.417	26.881
GCF_000371585.1_Clos_clos_90A3_V1	15.953	15.537	16.869	17.060	15.531	17.846	17.962	17.804	20.156	17.983
GCF_000371605.1_Clos_clos_90A1_V1	13.748	12.911	14.524	14.618	17.586	14.599	13.937	15.802	15.914	12.762
GCF_000371685.1_Clos_bolt_90B3_V1	7.919	9.543	10.965	9.357	10.857	9.780	10.404	11.498	10.623	4.303
GCF_000371705.1_Clos_bolt_90A9_V1	7.890	9.723	10.506	10.078	9.597	10.108	10.326	11.559	10.902	4.104
GCF_000373885.1_ASM37388v1	1.093	1.175	1.590	1.555	1.838	2.076	1.485	2.010	2.177	0.668
GCF_000374365.1_ASM37436v1	90.913	91.886	92.786	91.835	88.217	87.629	92.772	89.779	89.018	86.343
GCF_000374505.1_ASM37450v1	27.862	32.067	33.647	28.870	30.581	29.853	30.477	34.373	33.295	17.308
GCF_000374585.1_ASM37458v1	1.801	1.898	2.581	2.741	2.717	3.630	2.864	3.189	4.468	0.968
GCF_000379925.1_ASM37992v1	0.122	0.166	0.195	0.269	0.318	0.462	0.264	0.248	0.440	0.106
GCF_000379965.1_ASM37996v1	0.050	0.024	0.025	0.117	0.056	0.168	0.120	0.099	0.130	0.026
GCF_000381365.1_Bact_saly_DSM_18765_V1	76.155	78.678	82.052	79.265	72.880	72.772	81.808	76.122	75.549	67.866
GCF_000382385.1_ASM38238v1	13.000	15.413	18.290	14.601	16.266	16.773	15.128	20.503	18.729	8.898
GCF_000382445.1_Bact_mass_DSM_17679_V1	0.419	0.352	0.577	0.390	0.418	0.580	0.536	0.693	0.518	0.290
GCF_000382465.1_Bact_sp_HPS0048_V1	2.308	2.524	3.065	2.808	3.412	3.717	3.085	3.736	4.064	1.402
GCF_000383295.1_ASM38329v1	0.501	0.420	0.650	0.674	0.606	0.909	0.735	0.646	1.026	0.251
GCF_000384195.1_ASM38419v1	0.055	0.060	0.025	-	0.026	0.072	-	0.077	0.034	-
GCF_000391985.1_Ente_faec_9731349_1_V1	6.717	6.785	8.641	8.534	9.226	10.656	9.720	9.804	11.480	4.593
GCF_000396085.1_Ente_faec_B1933_V1	4.716	5.088	6.556	6.402	6.870	7.660	6.780	7.497	8.200	3.440
GCF_000396285.1_Ente_faec_B2867_V1	5.245	5.093	6.022	6.088	6.455	7.237	7.576	6.867	8.466	3.436
GCF_000398925.1_Buty_pull_1_20_V1	6.373	6.789	8.402	7.234	7.490	8.670	8.419	7.498	9.736	4.621
GCF_000403155.2_Bact_thet_dnLKV9_V1	82.281	79.764	82.581	81.508	79.326	80.667	85.427	78.534	79.659	90.960
GCF_000403235.1_Bact_vulg_dnLKV7_V1	8.364	7.291	6.682	7.848	11.242	11.717	8.233	14.847	16.076	4.957
GCF_000403255.1_Lach_bact_3_1_V1	95.705	95.125	95.847	96.179	96.369	96.364	96.420	96.543	96.716	94.570
GCF_000403275.1_Lach_bact_28_4_V1	95.553	95.085	95.825	95.700	96.068	96.059	95.974	96.275	96.568	94.058
GCF_000403355.2_Ente_caec_B7_V1	-	-	0.145	0.569	0.574	0.583	0.580	0.494	0.008	0.005
GCF_000403435.2_Osci_bact_1_3_V1	38.628	41.328	45.442	44.251	42.489	43.477	47.447	45.746	47.601	30.374
GCF_000403455.2_Dore_bact_5_2_V1	0.142	0.128	0.120	0.078	0.199	0.175	0.192	0.145	0.105	0.065
GCF_000404205.1_ASM40420v1	81.044	81.248	84.977	84.508	77.448	79.313	87.053	81.649	81.949	73.661
GCF_000410615.1_ASM41061v1	15.909	15.049	19.840	19.898	18.853	20.956	22.107	20.396	22.477	10.565
GCF_000410995.1_ASM41099v1	1.700	1.844	2.299	2.088	2.400	2.230	2.262	2.432	2.808	1.446
GCF_000411355.1_Copr_sp_HPP0048_V1	3.360	3.232	4.236	4.105	4.778	4.869	4.776	5.042	5.669	1.798
GCF_000413355.1_Prev_oral_HGA0225_V1	0.053	0.031	0.083	0.106	0.237	0.364	0.144	0.202	0.313	0.102
GCF_000422625.1_ASM42262v1	99.465	99.261	99.442	99.414	99.354	99.443	99.381	99.421	99.511	99.334
GCF_000423925.1_ASM42392v1	0.936	0.690	1.204	0.951	1.181	1.251	1.003	1.195	1.381	0.545
GCF_000423945.1_ASM42394v1	0.413	1.021	1.401	0.417	0.122	1.542	0.370	0.245	1.041	0.018
GCF_000423985.1_ASM42398v1	6.521	6.253	6.859	7.188	8.419	8.822	7.794	11.376	11.041	3.804
GCF_000424005.1_ASM42400v1	14.645	15.503	18.331	18.223	18.719	20.226	19.941	21.026	22.181	8.615
GCF_000424085.1_ASM42408v1	0.266	0.189	0.180	0.291	0.232	0.271	0.284	0.336	0.445	0.079
GCF_000424105.1_ASM42410v1	0.065	-	-	0.007	0.052	-	0.091	0.048	-	0.021
GCF_000424125.1_ASM42412v1	96.133	53.961	74.835	99.233	99.561	99.577	99.569	99.668	99.104	99.454
GCF_000424305.1_ASM42430v1	0.034	0.046	0.032	0.041	0.139	0.101	0.065	0.209	0.172	0.025
GCF_000424365.1_ASM42436v1	98.867	97.722	98.582	99.227	99.213	99.217	99.297	99.276	99.357	98.714
GCF_000424405.1_ASM42440v1	35.960	35.659	38.977	40.704	41.663	38.853	38.661	50.259	47.820	23.891
GCF_000424425.1_ASM42442v1	85.058	85.099	84.814	79.429	82.262	83.835	86.735	84.398	84.240	88.872
GCF_000424465.1_ASM42446v1	95.159	93.687	95.667	96.741	96.929	96.864	95.459	96.747	95.258	95.548
GCF_000424585.1_ASM42458v1	0.170	0.173	0.275	0.208	0.276	0.468	0.287	0.417	0.509	0.119
GCF_000424605.1_ASM42460v1	0.058	0.004	0.053	0.049	0.038	0.133	0.045	0.087	0.152	0.041
GCF_000425525.1_ASM42552v1	-	0.004	-	-	0.047	0.012	0.020	0.002	0.030	0.004
GCF_000426305.1_ASM42630v1	52.295	55.227	59.810	58.880	55.362	57.204	62.157	58.886	60.752	43.021
GCF_000426505.1_ASM42650v1	98.277	98.239	99.049	98.849	95.988	96.198	99.094	96.847	96.391	97.558
GCF_000427365.1_ASM42736v1	97.771	97.499	97.865	97.969	97.956	97.957	98.025	98.008	98.089	97.636
GCF_000428565.1_ASM42856v1	0.615	1.058	1.348	0.482	0.605	0.428	0.876	0.683	0.888	0.237
GCF_000429145.1_ASM42914v1	15.893	13.712	19.638	20.264	17.286	20.344	21.753	18.444	22.712	12.172
GCF_000455285.1_Sm_AP9	6.714	6.750	8.637	8.680	8.629	10.496	9.909	9.651	11.510	4.453
GCF_000466505.1_ASM46650v1	0.049	0.039	0.060	0.038	0.032	0.122	0.074	0.040	0.068	-
GCF_000467795.1_ASM46779v1	66.344	41.175	58.729	56.573	59.287	49.403	50.904	55.700	52.804	61.599
GCF_000467835.1_ASM46783v1	3.832	3.113	4.310	2.575	3.062	5.364	2.596	3.849	3.442	1.928
GCF_000467855.2_ASM46785v2	97.251	97.687	98.348	97.898	96.287	96.303	98.203	96.878	96.459	91.752
GCF_000467875.1_ASM46787v1	4.468	2.797	15.651	97.142	97.052	97.125	97.159	97.379	97.447	95.838
GCF_000468015.1_ASM46801v1	0.009	0.006	0.030	0.101	0.054	0.210	0.126	0.122	0.182	0.019
GCF_000469425.1_ASM46942v1	71.685	74.151	77.369	75.773	70.445	71.003	78.210	73.610	74.181	62.644
GCF_000473955.1__oprFasNSB1	1.270	1.203	1.684	1.663	1.728	2.357	2.044	1.826	2.464	0.709
GCF_000487995.1_Muci_scha_ASF457_V1	84.466	86.408	88.277	87.899	82.594	83.604	89.604	85.649	85.107	78.599
GCF_000493555.1_LhCIRMBIA101V1	2.661	1.944	12.034	79.045	75.633	80.636	75.090	80.626	85.068	73.946
GCF_000498675.1_ASM49867v1	94.810	95.354	95.469	94.639	93.984	94.114	95.006	94.737	94.712	91.434
GCF_000507805.1_Rumi_gnav_CC55_001C_V1	0.159	0.146	0.196	0.166	0.345	0.264	0.254	0.264	0.664	0.106
GCF_000512915.1_ASM51291v1	5.868	5.981	8.047	7.658	7.763	9.420	8.457	8.802	10.297	4.044
GCF_000515315.1_ASM51531v1	99.456	99.465	99.499	99.533	99.487	99.478	99.488	99.365	99.507	99.418
GCF_000539515.1_Stap_aure_LAMC0001_V1	58.238	59.666	61.588	66.987	56.602	51.582	61.399	54.132	55.932	55.874
GCF_000586615.1_RaSY3	0.182	0.132	0.309	0.332	0.472	0.571	0.330	0.401	0.525	0.153
GCF_000621465.1_ASM62146v1	0.946	0.934	1.253	0.977	1.574	1.434	1.487	1.759	1.816	0.595
GCF_000621565.1_ASM62156v1	95.487	94.398	95.823	96.336	96.567	96.831	95.910	96.437	96.383	93.777
GCF_000621605.1_ASM62160v1	0.608	0.588	0.663	0.673	0.661	0.875	0.675	0.818	0.961	0.307
GCF_000621765.1_ASM62176v1	99.193	98.341	99.077	99.535	99.453	99.540	99.553	99.528	99.547	99.138
GCF_000621785.1_ASM62178v1	31.798	31.360	37.192	37.008	33.863	37.011	39.921	36.132	40.162	21.873
GCF_000621805.1_ASM62180v1	98.156	98.188	98.545	98.382	97.322	97.633	98.585	97.885	97.470	97.248
GCF_000621825.1_ASM62182v1	96.649	97.231	98.130	97.371	94.318	94.240	97.877	95.333	95.144	94.561
GCF_000621865.1_ASM62186v1	36.990	39.562	43.475	42.728	41.401	42.431	46.215	46.121	45.330	24.533
GCF_000621905.1_ASM62190v1	0.635	0.530	0.847	0.782	0.968	1.531	1.030	1.005	1.445	0.424
